State,City,Year,Population,ViolentCrime,Murder,Rape,Robbery
ALABAMA,HUNTSVILLE4,2019,196620,872,12,79,159
ALABAMA,TUSCALOOSA,2018,101764,253,3,20,71
ALABAMA,TUSCALOOSA,2019,101764,311,4,18,92
ARIZONA,CHANDLER,2018,255986,287,1,74,62
ARIZONA,CHANDLER,2019,255986,295,2,63,55
ARIZONA,GILBERT,2018,247463,132,1,49,15
ARIZONA,GILBERT,2019,247463,116,0,27,21
ARIZONA,GLENDALE,2018,249799,594,7,69,171
ARIZONA,GLENDALE,2019,249799,384,8,29,122
ARIZONA,MESA,2018,504873,967,10,143,192
ARIZONA,MESA,2019,504873,969,4,133,177
ARIZONA,PEORIA,2018,170177,201,2,33,29
ARIZONA,PEORIA,2019,170177,219,1,49,52
ARIZONA,PHOENIX,2018,1653080,6118,67,566,1438
ARIZONA,PHOENIX,2019,1653080,5659,70,550,1564
ARIZONA,SCOTTSDALE,2018,254961,211,7,53,52
ARIZONA,SCOTTSDALE,2019,254961,200,3,59,52
ARIZONA,SURPRISE,2018,136611,67,3,10,20
ARIZONA,SURPRISE,2019,136611,83,2,15,32
ARIZONA,TEMPE,2018,188543,448,3,75,97
ARIZONA,TEMPE,2019,188543,430,3,66,103
ARIZONA,TUCSON,2018,537392,2027,26,255,670
ARIZONA,TUCSON,2019,537392,1936,27,264,560
ARKANSAS,LITTLE ROCK,2018,199288,1336,19,121,150
ARKANSAS,LITTLE ROCK,2019,199288,1464,20,105,170
CALIFORNIA,ANAHEIM,2018,354743,578,2,70,195
CALIFORNIA,ANAHEIM,2019,354743,497,6,49,174
CALIFORNIA,ANTIOCH,2018,112956,283,1,24,102
CALIFORNIA,ANTIOCH,2019,112956,290,5,28,108
CALIFORNIA,BAKERSFIELD,2018,385609,911,18,60,402
CALIFORNIA,BAKERSFIELD,2019,385609,862,18,57,367
CALIFORNIA,BERKELEY,2018,123735,270,1,31,167
CALIFORNIA,BERKELEY,2019,123735,283,0,25,174
CALIFORNIA,BURBANK,2018,105041,129,0,7,48
CALIFORNIA,BURBANK,2019,105041,87,1,7,34
CALIFORNIA,CARLSBAD,2018,116739,115,1,19,23
CALIFORNIA,CARLSBAD,2019,116739,129,2,28,17
CALIFORNIA,CHULA VISTA,2018,274370,406,4,43,114
CALIFORNIA,CHULA VISTA,2019,274370,396,2,21,122
CALIFORNIA,CLOVIS,2018,111759,106,1,23,15
CALIFORNIA,CLOVIS,2019,111759,125,0,25,16
CALIFORNIA,CONCORD,2018,130855,246,1,27,103
CALIFORNIA,CONCORD,2019,130855,237,1,34,102
CALIFORNIA,CORONA,2018,170041,127,4,27,49
CALIFORNIA,CORONA,2019,170041,125,3,31,45
CALIFORNIA,COSTA MESA,2018,114358,170,3,35,59
CALIFORNIA,COSTA MESA,2019,114358,134,0,16,51
CALIFORNIA,DALY CITY,2018,107928,113,2,18,45
CALIFORNIA,DALY CITY,2019,107928,122,0,26,47
CALIFORNIA,DOWNEY,2018,113277,174,3,7,83
CALIFORNIA,DOWNEY,2019,113277,177,3,15,77
CALIFORNIA,EL CAJON,2018,104497,246,2,20,86
CALIFORNIA,EL CAJON,2019,104497,273,2,18,94
CALIFORNIA,EL MONTE,2018,116464,181,2,12,78
CALIFORNIA,EL MONTE,2019,116464,138,1,15,63
CALIFORNIA,ELK GROVE,2018,174651,198,0,16,40
CALIFORNIA,ELK GROVE,2019,174651,172,0,18,62
CALIFORNIA,ESCONDIDO,2018,153073,237,1,28,71
CALIFORNIA,ESCONDIDO,2019,153073,260,3,22,70
CALIFORNIA,FAIRFIELD,2018,117883,335,2,53,89
CALIFORNIA,FAIRFIELD,2019,117883,222,2,27,72
CALIFORNIA,FONTANA,2018,213964,331,5,27,94
CALIFORNIA,FONTANA,2019,213964,337,4,38,90
CALIFORNIA,FREMONT,2018,238024,274,1,32,115
CALIFORNIA,FREMONT,2019,238024,198,1,13,82
CALIFORNIA,FRESNO,2018,531818,1489,18,93,473
CALIFORNIA,FRESNO,2019,531818,1394,23,74,378
CALIFORNIA,FULLERTON,2018,141132,174,0,27,66
CALIFORNIA,FULLERTON,2019,141132,150,1,38,44
CALIFORNIA,GARDEN GROVE,2018,174661,266,2,28,90
CALIFORNIA,GARDEN GROVE,2019,174661,241,1,24,86
CALIFORNIA,GLENDALE,2018,204724,83,0,16,24
CALIFORNIA,GLENDALE,2019,204724,111,4,9,44
CALIFORNIA,HAYWARD,2018,162881,330,0,55,170
CALIFORNIA,HAYWARD,2019,162881,265,2,28,128
CALIFORNIA,HUNTINGTON BEACH,2018,203428,218,0,41,59
CALIFORNIA,HUNTINGTON BEACH,2019,203428,169,0,29,44
CALIFORNIA,INGLEWOOD,2018,110726,349,7,27,156
CALIFORNIA,INGLEWOOD,2019,110726,352,1,30,189
CALIFORNIA,IRVINE,2018,288052,82,0,22,22
CALIFORNIA,IRVINE,2019,288052,87,0,25,32
CALIFORNIA,JURUPA VALLEY,2018,107605,134,5,8,45
CALIFORNIA,JURUPA VALLEY,2019,107605,152,4,3,43
CALIFORNIA,LANCASTER,2018,160818,586,4,49,142
CALIFORNIA,LANCASTER,2019,160818,703,6,43,192
CALIFORNIA,LONG BEACH,2018,470445,1702,11,107,527
CALIFORNIA,LONG BEACH,2019,470445,1164,13,122,455
CALIFORNIA,LOS ANGELES,2018,4029741,14709,132,1324,5139
CALIFORNIA,LOS ANGELES,2019,4029741,14236,127,1097,4779
CALIFORNIA,MODESTO,2018,215822,963,8,47,204
CALIFORNIA,MODESTO,2019,215822,890,8,40,216
CALIFORNIA,MORENO VALLEY,2018,209145,396,7,17,141
CALIFORNIA,MORENO VALLEY,2019,209145,390,4,10,137
CALIFORNIA,MURRIETA,2018,114706,49,2,5,18
CALIFORNIA,MURRIETA,2019,114706,34,0,9,10
CALIFORNIA,NORWALK,2018,106158,219,5,4,61
CALIFORNIA,NORWALK,2019,106158,212,2,13,63
CALIFORNIA,OAKLAND,2018,430230,2675,32,214,1220
CALIFORNIA,OAKLAND,2019,430230,2700,40,192,1337
CALIFORNIA,OCEANSIDE,2018,177464,309,3,33,72
CALIFORNIA,OCEANSIDE,2019,177464,319,2,43,78
CALIFORNIA,ONTARIO,2018,177542,314,5,57,109
CALIFORNIA,ONTARIO,2019,177542,329,4,54,109
CALIFORNIA,ORANGE,2018,141108,91,2,1,44
CALIFORNIA,ORANGE,2019,141108,87,1,6,39
CALIFORNIA,OXNARD,2018,211737,427,8,32,195
CALIFORNIA,OXNARD,2019,211737,368,7,29,144
CALIFORNIA,PALMDALE,2018,158177,325,3,22,84
CALIFORNIA,PALMDALE,2019,158177,331,5,27,105
CALIFORNIA,PASADENA,2018,143448,236,2,21,75
CALIFORNIA,PASADENA,2019,143448,329,1,21,78
CALIFORNIA,POMONA,2018,153496,442,8,44,180
CALIFORNIA,POMONA,2019,153496,450,8,48,154
CALIFORNIA,RIALTO,2018,104173,243,2,26,87
CALIFORNIA,RIALTO,2019,104173,253,4,28,78
CALIFORNIA,RICHMOND,2018,110982,509,7,13,191
CALIFORNIA,RICHMOND,2019,110982,533,7,21,149
CALIFORNIA,RIVERSIDE,2018,331022,801,9,73,271
CALIFORNIA,RIVERSIDE,2019,331022,861,5,50,231
CALIFORNIA,ROSEVILLE,2018,137706,125,2,15,60
CALIFORNIA,ROSEVILLE,2019,137706,100,2,14,38
CALIFORNIA,SACRAMENTO,2018,507037,1606,17,54,491
CALIFORNIA,SACRAMENTO,2019,507037,1561,18,54,515
CALIFORNIA,SALINAS,2018,158590,484,9,54,156
CALIFORNIA,SALINAS,2019,158590,426,1,37,147
CALIFORNIA,SAN BERNARDINO,2018,217986,1422,21,87,462
CALIFORNIA,SAN BERNARDINO,2019,217986,1373,20,81,452
CALIFORNIA,SAN DIEGO,2018,1436495,2630,18,310,653
CALIFORNIA,SAN DIEGO,2019,1436495,2558,19,263,672
CALIFORNIA,SAN FRANCISCO,2018,889282,3060,21,185,1521
CALIFORNIA,SAN FRANCISCO,2019,889282,2711,20,167,1356
CALIFORNIA,SAN JOSE,2018,1047305,2077,15,257,788
CALIFORNIA,SAN JOSE,2019,1047305,2237,17,311,665
CALIFORNIA,SAN MATEO,2018,105839,136,0,6,40
CALIFORNIA,SAN MATEO,2019,105839,141,2,26,35
CALIFORNIA,SANTA CLARA,2018,128682,103,0,26,36
CALIFORNIA,SANTA CLARA,2019,128682,115,0,23,36
CALIFORNIA,SANTA CLARITA,2018,216589,169,3,23,54
CALIFORNIA,SANTA CLARITA,2019,216589,114,0,22,42
CALIFORNIA,SANTA ROSA,2018,176325,389,3,81,64
CALIFORNIA,SANTA ROSA,2019,176325,418,2,73,61
CALIFORNIA,SIMI VALLEY,2018,127222,110,0,25,31
CALIFORNIA,SIMI VALLEY,2019,127222,72,0,7,20
CALIFORNIA,STOCKTON,2018,313158,2045,15,93,559
CALIFORNIA,STOCKTON,2019,313158,2244,23,104,531
CALIFORNIA,SUNNYVALE,2018,155637,116,0,23,37
CALIFORNIA,SUNNYVALE,2019,155637,127,0,18,40
